# Series: SA headline CPI YoY %
# Source: OECD via FRED CPALTT01ZAM659N (transformation GY: growth rate same period prev year)
# 2004-01 to 2024-12
date,cpi_yoy
2014-01-01,5.5655
2014-02-01,5.8719
2014-03-01,5.7996
2014-04-01,6.3158
2014-05-01,6.6784
2014-06-01,6.8421
2014-07-01,6.5972
2014-08-01,6.5744
2014-09-01,6.0241
2014-10-01,6.0137
2014-11-01,5.8319
2014-12-01,5.4795
2015-01-01,4.5918
2015-02-01,4.0336
2015-03-01,4.1528
2015-04-01,4.4554
2015-05-01,4.4481
2015-06-01,4.5977
2015-07-01,4.7231
2015-08-01,4.3831
2015-09-01,4.3831
2015-10-01,4.5381
2015-11-01,4.7002
2015-12-01,5.1948
2016-01-01,6.1789
2016-02-01,6.9467
2016-03-01,6.5391
2016-04-01,6.4771
2016-05-01,6.4669
2016-06-01,6.5934
2016-07-01,6.5319
2016-08-01,6.3764
2016-09-01,6.5319
2016-10-01,6.6667
2016-11-01,6.9659
2016-12-01,6.9444
2017-01-01,6.8913
2017-02-01,6.4955
2017-03-01,6.1377
2017-04-01,5.3412
2017-05-01,5.3333
2017-06-01,5.0074
2017-07-01,4.2336
2017-08-01,4.5322
2017-09-01,4.8175
2017-10-01,4.7965
2017-11-01,4.3415
2017-12-01,4.4733
2018-01-01,4.2980
2018-02-01,3.8298
2018-03-01,3.6671
2018-04-01,4.2254
2018-05-01,4.3601
2018-06-01,4.3478
2018-07-01,5.0420
2018-08-01,4.7552
2018-09-01,4.8747
2018-10-01,4.9931
2018-11-01,5.1318
2018-12-01,4.5580
2019-01-01,3.8462
2019-02-01,4.0984
2019-03-01,4.4898
2019-04-01,4.3243
2019-05-01,4.4474
2019-06-01,4.4355
2019-07-01,4.0000
2019-08-01,4.4059
2019-09-01,4.1169
2019-10-01,3.5667
2019-11-01,3.5620
2019-12-01,3.9630
2020-01-01,4.3651
2020-02-01,4.4619
2020-03-01,4.1667
2020-04-01,2.9793
2020-05-01,1.9355
2020-06-01,2.1879
2020-07-01,3.2051
2020-08-01,3.0691
2020-09-01,2.9337
2020-10-01,3.3163
2020-11-01,3.1847
2020-12-01,3.0496
2021-01-01,3.1686
2021-02-01,3.0151
2021-03-01,3.1250
2021-04-01,4.5283
2021-05-01,5.3165
2021-06-01,5.0378
2021-07-01,4.7205
2021-08-01,4.9628
2021-09-01,5.0805
2021-10-01,5.0617
2021-11-01,5.4321
2021-12-01,5.9186
2022-01-01,5.7740
2022-02-01,5.6098
2022-03-01,6.0606
2022-04-01,6.0168
2022-05-01,6.6106
2022-06-01,7.4341
2022-07-01,8.0664
2022-08-01,7.9196
2022-09-01,7.7830
2022-10-01,7.7556
2022-11-01,7.7283
2022-12-01,7.5669
2023-01-01,7.2009
2023-02-01,7.3903
2023-03-01,7.3143
2023-04-01,7.0375
2023-05-01,6.5389
2023-06-01,5.6920
2023-07-01,4.7201
2023-08-01,4.8193
2023-09-01,5.4705
2023-10-01,6.1069
2023-11-01,5.6522
2023-12-01,5.1948
2024-01-01,5.4171
2024-02-01,5.4839
2024-03-01,5.3248
2024-04-01,5.0901
2024-05-01,5.0794
2024-06-01,4.9630
2024-07-01,4.6122
2024-08-01,4.3887
2024-09-01,3.7344
2024-10-01,2.7749
2024-11-01,2.7778
2024-12-01,2.8807
